code,name_short,gender,function,country_code,country,nationality,height,weight,disciplines,events,birth_date,occupation,coach,influence,ritual,Cluster
1532872,ALEKSANYAN A,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",21-10-1991,Athlete,"Gevorg Aleksanyan (ARM), father","His father, Gevorg Aleksanyan",,0
1532873,AMOYAN M,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",22-01-1999,,,,,0
1532874,GALSTYAN S,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",21-12-1996,,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM),,,0
1532944,HARUTYUNYAN A,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Freestyle 57kg""]",22-11-1999,Athlete,National: Habetnak Kurghinyan,,,0
1532945,TEVANYAN V,Male,Athlete,ARM,Armenia,Armenia,0,0.0,['Wrestling'],"[""Men's Freestyle 65kg""]",27-10-1999,Athlete,National: Habetnak Kurghinyan (ARM),,,0
1532951,ARENAS L,Female,Athlete,COL,Colombia,Colombia,162,0.0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",17-09-1993,Athlete,Personal: Brent Vallance (AUS),,In competition she wears a ring or earrings her family gave her,1
1533112,McKENZIE A,Male,Athlete,JAM,Jamaica,Jamaica,0,0.0,['Judo'],['Men -60 kg'],17-07-1989,Athlete,Personal and National: Luke Preston (GBR),"""My coach Luke Preston. We've been a team for the last 12 years."" (Athlete, 25 Jun 2024)",,0
1533136,BASS BITTAYE GM,Female,Athlete,GAM,Gambia,Gambia,161,0.0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",03-05-1995,"Athlete, police officer (sub-inspector)",Personal: Christophe Belliard (FRA),,,1
1533176,CAMARA E,Male,Athlete,GAM,Gambia,Gambia,178,0.0,['Athletics'],"[""Men's 100m""]",18-09-1996,"Athlete, prison officer",Personal: Christophe Belliard (FRA),"Momodou Lamin Kujabi, a former international athlete from The Gambia who was once his physical education teacher",,1
1533188,RUEDA SANTOS L,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Women's Individual""]",07-03-1994,Athlete,Personal: Eugenio Chimal (MEX),,,0
1533189,TAPIA VIDAL RM,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Women's Individual""]",27-08-1997,Athlete,Luis Miguel Chávez Rincón,,,0
1533190,GRAJALES C,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Men's Individual""]",06-05-1987,Athlete,Personal: Eugenio Chimal (MEX),,,0
1533208,MAAROUFOU H,Male,Athlete,COM,Comoros,Comoros,183,0.0,['Athletics'],"[""Men's 100m""]",13-02-1997,Athlete,Personal: Franck Ne (FRA),,,1
1533209,SAADI M,Female,Athlete,COM,Comoros,Comoros,0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",16-01-2007,"Athlete, student",Personal: Marc-Olivier Froger,,,0
1533230,DIOSDADO N,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],"['Team', 'Duet']",22-08-1990,"Athlete, sport soldier",National: Adriana Loftus (MEX),Her parents,,0
1533231,JIMENEZ J,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],"['Team', 'Duet']",19-08-1993,"Athlete, sport soldier",National: Adriana Loftus (MEX),"Fictional boxer Rocky Balboa from the ""Rocky"" movie series. ""I saw the entire Rocky saga with my father, and I said, 'Wow. I want to do what he does, I want to be just as good’. I even told my parents that I wanted to be a boxer... Although I didn't go into boxing, the truth is that Rocky Balboa taught me to be someone, and I always think that if he went from street fights to being world champion, I could do something like that too."" (heraldodemexico.com.mx, 2 Aug 2021)",,0
1533232,SOBRINO J,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],26-05-1994,Athlete,National: Adriana Loftus (MEX),,,0
1533234,ALFEREZ R,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],01-12-1997,Athlete,National: Adriana Loftus (MEX),,,0
1533235,ARELLANO F,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],28-02-2002,"Athlete, student",National: Adriana Loftus (MEX),,,0
1533237,TOSCANO P,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],13-01-2000,"Athlete, sport soldier",National: Adriana Loftus (MEX),,,0
1533239,GONZALEZ I,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],14-11-2003,Athlete,National: Adriana Loftus (MEX),,,0
1533240,RODRIGUEZ S,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],05-12-1994,Athlete,National: Adriana Loftus (MEX),,,0
1533243,INZUNZA G,Female,Alternate Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Swimming'],['Team'],12-03-2000,,,,,0
1533245,SEHEN S,Male,Athlete,IRQ,Iraq,Iraq,0,0.0,['Judo'],['Men -81 kg'],08-03-1996,,,,,0
